  -10.000000000000004        0.0000000000000000     
  -9.1925465838509357        2.7082412399490652E-081
  -8.3850931677018679        8.1841778388177698E-076
  -7.5776397515527982        2.2346078736482389E-070
  -6.7701863354037295        4.8384749344101203E-065
  -5.9627329192546608        8.1953850522761568E-060
  -5.1552795031055920        8.1420019815793601E-055
  -4.3478260869565242        9.9734170052131176E-054
  -3.9967593842830156        1.6113041633801707E-051
  -3.6456926816095074        2.2497769207959431E-049
  -3.2946259789359993        2.9083018598783978E-047
  -2.9435592762624911        3.2773567434565389E-045
  -2.5924925735889830        3.0406056954825922E-043
  -2.2414258709154753        1.9895554519553858E-041
  -1.8903591682419671        2.2449481961826586E-040
  -1.7377214714273983        1.5790660419304348E-039
  -1.5850837746128297        1.0275725737637696E-038
  -1.4324460777982608        6.5297921055812478E-038
  -1.2798083809836922        2.9846802568554354E-037
  -1.1271706841691234        1.7330994364043280E-036
  -1.0282089375753285        5.3696239922893266E-036
  -1.0164778824628815        6.1357268614063336E-036
  -1.0048034677104374        7.0088285063922173E-036
 -0.99318238698392480        7.9963530591826918E-036
 -0.98161139063528702        9.1185868719813092E-036
 -0.97008728190101490        1.0391228260476098E-035
 -0.95860691322154168        1.1834058675873683E-035
 -0.94716718267218003        1.3469237401722040E-035
 -0.93576503049672066        1.5324094502717707E-035
 -0.92439743573521482        1.7425078511939666E-035
 -0.91306141293782728        1.9803260285247188E-035
 -0.90175400895697910        2.2510763052286113E-035
 -0.89047229981029741        2.5676437673923641E-035
 -0.87921338760715939        2.9309233459634774E-035
 -0.86797439753185612        3.3407385527498333E-035
 -0.85675247487661432        3.7969607583769232E-035
 -0.84554478211789919        4.2995087107030594E-035
 -0.83434849602958516        4.8483481567626297E-035
 -0.82316080482671139        5.4434915665657463E-035
 -0.81197890533365857        6.2418288786813838E-035
 -0.80080000017066677        7.1465918566544268E-035
 -0.79919999982933332        7.2833697951999962E-035
 -0.79560769967663636        7.5971050811966460E-035
 -0.79201528616061245        7.9200429453042307E-035
 -0.78842266655349602        8.2521929494444715E-035
 -0.78482974810624295        8.5935656068560362E-035
 -0.78123643803895126        8.9441723834819262E-035
 -0.77764264353127466        9.3040256995636967E-035
 -0.77404827171282786        9.6731389314462769E-035
 -0.77045322965358032        1.0051526413593656E-034
 -0.76685742435423698        1.0439203440814128E-034
 -0.76326076273660437        1.0836186270698607E-034
 -0.75966315163393805        1.1242492126269084E-034
 -0.75606449778127249        1.1658139198842399E-034
 -0.75246470780572727        1.2083146651108394E-034
 -0.74886368821679128        1.2517534620419682E-034
 -0.74526134539658007        1.2961324222302668E-034
 -0.74165758559006500        1.3524069963500571E-034
 -0.73805231489527312        1.4138352287010708E-034
 -0.73444543925345318        1.4774797753551333E-034
 -0.73083686443920859        1.5433453074911697E-034
 -0.72722649605059231        1.6114367299724462E-034
 -0.72361423949916293        1.6817591823566012E-034
 -0.68916685852731741        2.4626943032066899E-034
 -0.62280264252098316        5.1166769111810635E-034
 -0.55643842651464892        1.0499041168273260E-033
 -0.49007421050831457        2.1259701365369027E-033
 -0.42370999450198032        4.2450656241091480E-033
 -0.35734577849564603        8.3518392144243380E-033
 -0.32849177153637027        1.1225483539650533E-032
 -0.29963776457709446        1.5011041011488533E-032
 -0.27078375761781870        2.2195115443068606E-032
 -0.24192975065854297        2.6289028581484895E-030
 -0.21307574369926721        3.0589884860737410E-027
 -0.18422173673999145        3.5590022562458965E-024
 -0.15536772978071567        4.0764532659237170E-021
 -0.14282250936363924        8.6556384987393197E-020
 -0.13027728894656282        1.8278890688666812E-018
 -0.11773206852948639        3.8343262430466665E-017
 -0.10518684811240998        7.9761662660351041E-016
  -9.2641627695333573E-002   1.6416637337511069E-014
  -8.0096407278257148E-002   3.3324140903333953E-013
  -6.7551186861180723E-002   6.6393573382632019E-012
  -6.2096743201582275E-002   2.4197638096729953E-011
  -5.6642299541983833E-002   8.7681137303528980E-011
  -5.1187855882385391E-002   3.1551789516296905E-010
  -4.5733412222786957E-002   1.1258149769733132E-009
  -4.0278968563188515E-002   3.9749618967060753E-009
  -3.4824524903590066E-002   1.3846468749742644E-008
  -2.9370081243991625E-002   4.7381995481867444E-008
  -2.6998584000687963E-002   8.0313738666069893E-008
  -2.4627086757384287E-002   1.3541037555908474E-007
  -2.2255589514080618E-002   2.2687765482768067E-007
  -1.9884092270776942E-002   3.7730186727235293E-007
  -1.7512595027473273E-002   6.2188813928837310E-007
  -1.5141097784169598E-002   1.0140595817739410E-006
  -1.2769600540865926E-002   1.6322617793649988E-006
  -1.1738514782907807E-002   1.9983063024860298E-006
  -1.0707429024949689E-002   2.4381115562437752E-006
  -9.6763432669915717E-003   2.9640111824134851E-006
  -8.6452575090334542E-003   3.5900762207845705E-006
  -7.6141717510753350E-003   4.3311791789225711E-006
  -6.5830859931172167E-003   5.2027495692365186E-006
  -5.5520002351590984E-003   6.2213101419247680E-006
  -5.1037020795251346E-003   6.7150667511306867E-006
  -4.6554039238911708E-003   7.2450039444939362E-006
  -4.2071057682572053E-003   7.8160435704348096E-006
  -3.7588076126232411E-003   8.4484858196763067E-006
  -3.3105094569892764E-003   9.1900014120033489E-006
  -2.8622113013553117E-003   1.0168742523171843E-005
  -2.4139131457213475E-003   1.1727681926114580E-005
  -2.2190009041413630E-003   1.2773545333252959E-005
  -2.0240886625613780E-003   1.4204914424986948E-005
